component_id,requirement_id
1,1_1
1,2_1
1,3_1
1,4_1
1,5_1
1,6_1
1,7_1
1,8_1
1,9_1
1,10_1
1,11_1
1,12_1
1,12_2
1,12_3
1,12_4
1,12_5
1,12_6
1,12_7
1,12_8
1,12_9
1,12_10
1,12_11
1,12_12
1,12_13
1,12_14
1,12_15
1,12_16
1,12_17
1,12_18
1,13_1
1,14_1
1,15_1
1,16_1
1,17_1
1,17_2
1,17_3
1,17_4
1,17_5
1,17_6
1,17_7
1,17_8
1,17_9
1,17_10
1,17_11
1,17_12
1,17_13
1,18_1
1,18_2
1,18_3
1,18_4
1,18_5
1,18_6
1,18_7
1,18_8
1,18_9
1,18_10
1,18_11
1,18_12
1,18_13
1,18_14
1,18_15
1,18_16
1,18_17
1,18_18
1,18_19
1,18_20
1,18_21
1,18_22
1,18_23
1,18_24
2,20_1
2,20_2
2,20_3
3,21_1
3,21_2
3,21_3
4,22_1
4,22_2
4,22_3
5,30_1
5,30_2
5,30_3
6,31_1
6,31_2
6,31_3
7,40_1
7,40_2
7,40_3
8,41_1
8,41_2
8,41_3
9,42_1
9,42_2
9,42_3
10,43_1
10,43_2
10,43_3
11,50_1
11,50_2
11,50_3
12,51_1
12,51_2
12,51_3