requirement_id,Anforderung,Requirement,Beschreibung,Description,Vehicle Project,Technology Cluster,Component,Type
15_1,Diagnose und Wartungsfreundlichkeit,Diagnostics and Serviceability,"Diagnoseanschlüsse, modularer Aufbau für Reparaturen, OTA-Updates für BMS und Komponenten sowie Beschriftungen müssen vorhanden sein.","Diagnostic connectors, modular design for repairs, OTA updates for BMS and components, and labeling must be present.",R2D2,Electric Powertrain,HVB_3900,HW
16_1,EMV,EMC,Die CISPR25-Norm für Emissionen und Störfestigkeit muss eingehalten werden. Abschirmungen und Maßnahmen gegen EMV-Störungen sind erforderlich.,The CISPR25 standard for emissions and immunity must be complied with. Shielding and measures against EMC interference are required.,R2D2,Electric Powertrain,HVB_3900,HW
17_1,Schnittstellen,Interfaces,"Das Batteriepack muss über eine CAN 2.0B, 100Mbit/s Ethernet und LIN-Schnittstelle verfügen.","The battery pack must have a CAN 2.0B, 100Mbit/s Ethernet, and LIN interface.",R2D2,Electric Powertrain,HVB_3900,HW
17_2,Mechanische Befestigung,Mechanical Mounting,Das Batteriepack muss 6 M12 Gewindebohrungen und Schwingungsdämpfer haben.,The battery pack must have 6 M12 threaded holes and vibration dampers.,R2D2,Electric Powertrain,HVB_3900,HW
17_3,Gehäuseentlüftung,Housing Ventilation,"Das Batteriepackgehäuse muss mit einer Entlüftungsöffnung ausgestattet sein, um einen kontrollierten Druckausgleich und die Ableitung von Gasen im Fehlerfall zu ermöglichen. Die Entlüftungsöffnung muss mit einem Schutzgitter gegen Fremdkörpereinfall und einem Rückschlagventil zur Verhinderung von Wassereintritt versehen sein. Der Mindestquerschnitt der Entlüftungsöffnung muss 20cm_ betragen.",The battery pack housing must be equipped with a ventilation opening to allow controlled pressure equalization and gas venting in case of a fault. The ventilation opening must be equipped with a guard against foreign object ingress and a non-return valve to prevent water ingress. The minimum cross-section of the ventilation opening must be 20cm_.,R2D2,Electric Powertrain,HVB_3900,HW
17_4,Elektrische Anschlüsse,Electrical Connections,"Das Batteriepack muss über folgende elektrische Anschlüsse verfügen: 2x Hochvoltanschlüsse RADLOK 350A Orange für Plus- und Minuspol, 1x Hochvoltmasseanschluss M10 Gewindebuchse, 4x Steckverbinder ODU 4-Polig für Kommunikationsschnittstellen (CAN, LIN, Ethernet). Alle Anschlüsse müssen für den Einsatz im Kraftfahrzeug unter Vibrationen und Umwelteinflüssen ausgelegt sein.","The battery pack must have the following electrical connections: 2x high-voltage connectors RADLOK 350A Orange for positive and negative terminals, 1x high-voltage ground connection M10 threaded hole, 4x ODU 4-pin connectors for communication interfaces (CAN, LIN, Ethernet). All connections must be designed for use in motor vehicles under vibration and environmental influences.",R2D2,Electric Powertrain,HVB_3900,HW
17_5,Kühlungsanschluss,Cooling Connections,Das Batteriepack muss 2x Kühlmittelanschlüsse (Tüllen NW25) für Ein- und Austritt mit einem maximalen Kühlmitteldruck von 2 bar haben.,The battery pack must have 2x cooling connections (NW25 hose fittings) for inlet and outlet with a maximum coolant pressure of 2 bar.,R2D2,Electric Powertrain,HVB_3900,HW
17_6,Kühlmedium,Coolant,Als Kühlmedium muss ein Wasser-Glykol Gemisch (60% Ethylenglykol) mit Korrosionsschutzadditiv gemäß VW TL 774-J (G13) verwendet werden. Der Gefrierpunkt muss unter -35°C liegen.,A water-glycol mixture (60% ethylene glycol) with corrosion inhibitor according to VW TL 774-J (G13) must be used as the coolant. The freezing point must be below -35°C.,R2D2,Electric Powertrain,HVB_3900,HW
17_7,Kühlkreislauf,Cooling Circuit,Das Batteriepack muss in den Niedrigtemperatur-Kühlkreislauf des Fahrzeugs integrierbar sein.,The battery pack must be integrable into the low-temperature cooling circuit of the vehicle.,R2D2,Electric Powertrain,HVB_3900,HW
17_8,Energieversorgung,Power Supply,Die Energieversorgung des Batteriepacks muss über einen 2-poligen Steckverbinder mit 12V (9-16V) bei einer maximalen Stromaufnahme von 5A erfolgen.,The power supply of the battery pack must be via a 2-pin connector with 12V (9-16V) at a maximum current consumption of 5A.,R2D2,Electric Powertrain,HVB_3900,HW
17_9,Leistungsanschlüsse,Power Connections,Das Batteriepack muss 2x RADLOK 350A Orange Hochvoltanschlüsse für Plus/Minus als Leistungsanschlüsse haben.,The battery pack must have 2x RADLOK 350A Orange high-voltage connectors for positive/negative as power connections.,R2D2,Electric Powertrain,HVB_3900,HW
17_10,Gehäusemasse,Housing Ground,Für die Masseanbindung des Batteriepackgehäuses muss eine M10 Gewindebuchse vorhanden sein.,"For the ground connection of the battery pack housing, an M10 threaded hole must be present.",R2D2,Electric Powertrain,HVB_3900,HW
17_11,Klemme 30B,Terminal 30B,Einer der RADLOK 350A Orange Hochvoltanschlüsse muss als Klemme 30B (Batterie-Hauptplus) dienen.,One of the RADLOK 350A Orange high-voltage connectors must serve as Terminal 30B (battery positive).,R2D2,Electric Powertrain,HVB_3900,HW
17_12,Notaus,Emergency Stop,Das Batteriepack muss über einen Steckverbinder (ODU 4-Polig) für die Notaus-Schnittstelle verfügen.,The battery pack must have an ODU 4-pin connector for the emergency stop interface.,R2D2,Electric Powertrain,HVB_3900,HW
17_13,Crashsignal,Crash Signal,Das Batteriepack muss einen Steckverbinder (ODU 4-Polig) für die Crashsignal-Schnittstelle haben. Das Crashsignal muss bei einer Spannung >6V für >5ms ausgelöst werden.,The battery pack must have an ODU 4-pin connector for the crash signal interface. The crash signal must be triggered at a voltage >6V for >5ms.,R2D2,Electric Powertrain,HVB_3900,HW
18_1,Betriebsarten,Operating Modes,"Das Batteriepack muss folgende Betriebsarten unterstützen: Fahren: Entladen mit max. 3C Dauerentladestrom, max. 6C Spitzenstrom für 10s Laden: Laden mit max. 1C Dauerladestrom, max. 2C Spitzenstrom für 10s Parken: Ruhezustand mit Überwachung und Selbstentladungsausgleich Transport: Ruhezustand mit deaktivierten HV-Systemen","The battery pack must support the following operating modes: Driving: Discharging with max. 3C continuous discharge current, max. 6C peak current for 10s Charging: Charging with max. 1C continuous charge current, max. 2C peak current for 10s Parking: Idle state with monitoring and self-discharge compensation Transport: Idle state with HV systems deactivated",R2D2,Electric Powertrain,HVB_3900,SW
18_2,Wirkungsgrad,Efficiency,Der Wirkungsgrad bei 1C Lade-/Entladerate und 25°C muss ≥ 96% betragen. Der Wirkungsgradverlust über die Lebensdauer (3000 Zyklen) darf max. 4% betragen.,The efficiency at 1C charge/discharge rate and 25°C must be ≥ 96%. The efficiency loss over the lifetime (3000 cycles) must not exceed 4%.,R2D2,Electric Powertrain,HVB_3900,SW
18_3,Ansteuerung,Control,Ansteuerung über CAN 2.0B mit 500kBit/s gemäß BMW-Spezifikation AB12344 Reaktionszeit auf Befehle: ≤ 50ms,Control via CAN 2.0B with 500kBit/s according to BMW specification AB12344 Response time to commands: ≤ 50ms,R2D2,Electric Powertrain,HVB_3900,SW
18_4,Motorstart,Engine Start,Motorstartfähigkeit mit 600A bei 400-800V für 10s bei Temperaturen von -20°C bis +50°C,Engine start capability with 600A at 400-800V for 10s at temperatures from -20°C to +50°C,R2D2,Electric Powertrain,HVB_3900,SW
18_5,MSA-Start / Zustart,MSA-Start / Jump Start,MSA-Startfähigkeit mit 5% Restkapazität bei -20°C bis +50°C Zustart mit 12V Hilfsbatterie bei -30°C bis +80°C möglich,MSA start capability with 5% remaining capacity at -20°C to +50°C Jump start with 12V auxiliary battery possible at -30°C to +80°C,R2D2,Electric Powertrain,HVB_3900,SW
18_6,Spannungswelligkeit,Voltage Ripple,Spannungswelligkeit bei Nennstrom ≤ 2% der Nennspannung,Voltage ripple at rated current ≤ 2% of rated voltage,R2D2,Electric Powertrain,HVB_3900,SW
18_7,Kommunikationsschnittstellen,Communication Interfaces,"CAN 2.0B gemäß ISO 11898, 500kBit/s 100Base-TX Ethernet gemäß IEEE 802.3 LIN gemäß ISO 17987, 19,2kBit/s OBDII Diagnoseport JTAG Programmierport","CAN 2.0B according to ISO 11898, 500kBit/s 100Base-TX Ethernet according to IEEE 802.3 LIN according to ISO 17987, 19.2kBit/s OBDII diagnostic port JTAG programming port",R2D2,Electric Powertrain,HVB_3900,SW
18_8,Sicherheit / Eigenschutz,Safety / Self-Protection,"Überstromabschaltung bei >800A für >1s Überspannungsabschaltung bei >950V für >1s Übertemperaturabschaltung bei >65°C an jeder Zelle Kurzschlussabschaltung bei Kurzschluss zwischen Plus und Minus Redundante Sicherheitsabschaltung über zwei unabhängige Wege Überwachung von Zellspannungen, -temperaturen und Strömen Zellungleichgewichtsüberwachung und -abschaltung","Overcurrent shutdown at >800A for >1s Overvoltage shutdown at >950V for >1s Overtemperature shutdown at >65°C at each cell Short-circuit shutdown in case of short-circuit between positive and negative Redundant safety shutdown via two independent paths Monitoring of cell voltages, temperatures and currents Cell imbalance monitoring and shutdown",R2D2,Electric Powertrain,HVB_3900,SW
18_9,HV-Interlock,HV Interlock,Integration in Hochvolt-Interlock-Schleife des Fahrzeugs über separaten Steckverbinder Abschaltung der HV-Systeme bei Unterbrechung der Interlock-Schleife,Integration into the vehicle's high-voltage interlock loop via separate connector Shutdown of HV systems in case of interlock loop interruption,R2D2,Electric Powertrain,HVB_3900,SW
18_10,Zwischenkreisentladung,DC Link Discharge,Entladung des Zwischenkreises auf unter 60V innerhalb von 60s nach Abschaltung Überwachung der Zwischenkreisentladung,Discharge of the DC link to below 60V within 60s after shutdown Monitoring of DC link discharge,R2D2,Electric Powertrain,HVB_3900,SW
18_11,Isolation,Isolation,"Isolationsfestigkeit zwischen HV- und NV-Bereich: AC 1500V, 1min Isolationswiderstand: ≥ 1MOhm bei 1000V Isolationsüberwachung mit Abschaltung bei Unterschreitung der Grenzwerte Doppelte/verstärkte Isolation zwischen HV-Komponenten und Fahrgastraum","Insulation strength between HV and LV: AC 1500V, 1min Insulation resistance: ≥ 1MOhm at 1000V Insulation monitoring with shutdown in case of limit violation Double/reinforced insulation between HV components and passenger compartment",R2D2,Electric Powertrain,HVB_3900,SW
18_12,Berührsicherheit,Touch Protection,Die Berührungsschutzart IPXXB gemäß ECE-R100 muss für alle freiliegenden Hochvoltpotenziale erfüllt sein. Bei Gehäuseöffnung müssen die Hochvoltverbindungen zwangsgeöffnet werden. Abdeckungen oder Isolierungen für freiliegende Hochvoltpotenziale >60V DC oder >30V AC sind erforderlich.,"The touch protection class IPXXB according to ECE-R100 must be met for all exposed high-voltage potentials. In case of housing opening, the high-voltage connections must be forcibly opened. Covers or insulation for exposed high-voltage potentials >60V DC or >30V AC are required.",R2D2,Electric Powertrain,HVB_3900,SW
18_13,Kennzeichnung,Marking,"Alle Hochvoltkomponenten, -leitungen und -anschlüsse müssen gemäß ECE-R100 gekennzeichnet sein. Die Kennzeichnung muss beständig gegen Umwelteinflüsse wie Hitze, Kälte und Chemikalien sein und über die gesamte Lebensdauer des Fahrzeugs erhalten bleiben.","All high-voltage components, cables, and connections must be marked according to ECE-R100. The marking must be resistant to environmental influences such as heat, cold, and chemicals and must remain intact throughout the vehicle's lifetime.",R2D2,Electric Powertrain,HVB_3900,SW
18_14,Tiefe Temperaturen,Low Temperatures,Das Batteriesystem muss eine volle Funktionsfähigkeit bis zu einer Umgebungstemperatur von -30°C aufweisen. Unterhalb von -30°C muss eine begrenzte Funktionsfähigkeit mit Heizbetrieb zur Aufwärmung gewährleistet sein. Die Aufheizzeit auf -20°C darf bei einer Umgebungstemperatur von -40°C maximal 30 Minuten betragen.,"The battery system must have full functionality down to an ambient temperature of -30°C. Below -30°C, limited functionality with heating mode for warm-up must be ensured. The warm-up time to -20°C must not exceed 30 minutes at an ambient temperature of -40°C.",R2D2,Electric Powertrain,HVB_3900,SW
18_15,Temperaturwarnsystem,Temperature Warning System,"Das Batteriesystem muss über ein Temperaturwarnsystem verfügen, das den Fahrer bei Überschreitung kritischer Temperaturgrenzwerte warnt. Die Warnungen müssen visuell und akustisch erfolgen und den Fahrer auf mögliche Leistungseinbußen oder Sicherheitsrisiken hinweisen.","The battery system must have a temperature warning system that warns the driver when critical temperature limits are exceeded. The warnings must be visual and audible, and inform the driver of possible performance limitations or safety risks.",R2D2,Electric Powertrain,HVB_3900,SW
18_16,Thermische Überwachung,Thermal Monitoring,"Das Batteriesystem muss eine kontinuierliche Überwachung der Zelltemperaturen aller Batteriezellen und -module vornehmen. Bei Überschreitung von definierten Temperaturgrenzwerten müssen Warnungen ausgegeben werden. Bei kritischen Zelltemperaturen muss eine Abschaltung des Batteriesystems erfolgen, um Schäden zu vermeiden.","The battery system must continuously monitor the cell temperatures of all battery cells and modules. Warnings must be issued when defined temperature limits are exceeded. In case of critical cell temperatures, the battery system must be shut down to prevent damage.",R2D2,Electric Powertrain,HVB_3900,SW
18_17,Isolation,Isolation,Siehe Anforderung 18.11,See requirement 18.11,R2D2,Electric Powertrain,HVB_3900,SW
18_18,EMV,EMC,Einhaltung der ECE-R10 Norm für Funkstörungen Maximale Funkentstörgrenzwerte gemäß CISPR 25 einhalten Geeignete Schirmung und Filterung der HV-Leitungen Abschirmung gegen elektromagnetische Strahlung von außen,Compliance with ECE-R10 for radio interference Maximum radio interference limits according to CISPR 25 must be met Proper shielding and filtering of HV cables Shielding against external electromagnetic radiation,R2D2,Electric Powertrain,HVB_3900,SW
18_19,Erdungssystem,Grounding System,Zentralerdungspunkt für HV-System mit kurzen Masseanbindungen Potenzialfreie Trennung der HV-Masse von Karosserie-/Fahrzeugmasse Ausgleichsleiter zwischen HV-Masse und Karosseriemasse,Central grounding point for HV system with short ground connections Potential-free separation of HV ground from body/vehicle ground Equipotential bonding conductor between HV ground and body ground,R2D2,Electric Powertrain,HVB_3900,SW
18_20,Brand- und Explosionsschutz,Fire and Explosion Protection,Einhaltung der ECE-R100 für Batteriesicherheit Geeignete Entlüftung und Druckentlastung des Batteriegehäuses Thermische Überwachung und Abschaltung bei kritischen Temperaturen Inertgassystem zur Sauerstoffverdrängung im Fehlerfall,Compliance with ECE-R100 for battery safety Suitable ventilation and pressure relief of the battery housing Thermal monitoring and shutdown at critical temperatures Inert gas system for oxygen displacement in case of fault,R2D2,Electric Powertrain,HVB_3900,SW
18_21,Blitzschutz,Lightning Protection,Integrierter Blitzschutz für das Hochvoltbatteriesystem Ableitungspfade für Blitzströme zur Fahrzeugmasse Koordinierte Überspannungsableiter für Batterie und BMS,Integrated lightning protection for the high-voltage battery system Discharge paths for lightning currents to the vehicle ground Coordinated surge arresters for battery and BMS,R2D2,Electric Powertrain,HVB_3900,SW
18_22,Lastverteilung,Load Distribution,Gleichmäßige Stromverteilung auf die Zellen/Module Ausgleich von Spannungsunterschieden zwischen Zellen/Modulen Vermeidung von Wärmeüberhöhungen durch ungleiche Lastverteilung,Uniform current distribution across cells/modules Balancing of voltage differences between cells/modules Avoidance of hotspots due to uneven load distribution,R2D2,Electric Powertrain,HVB_3900,SW
18_23,Leckstromüberwachung,Leakage Current Monitoring,Überwachung der Ableitströme gegen Fahrzeugmasse Abschaltung bei Überschreitung der zulässigen Grenzwerte,Monitoring of leakage currents against vehicle ground Shutdown in case of exceeding permissible limits,R2D2,Electric Powertrain,HVB_3900,SW
18_24,Potenzialtrennung,Potential Separation,Potenzialfreie Trennung zwischen Hochvolt- und Niedervoltbereich Keine direkte Masseschleife zwischen HV und NV erlaubt,Potential-free separation between high-voltage and low-voltage sections No direct ground loop between HV and LV allowed,R2D2,Electric Powertrain,HVB_3900,SW